,,,SUMMARY,,,,,
,,,,,,,,
,Total Books,,Total Revenue,,Average Rating,,,
,72818,," 4,56,63,945.90 ",,4.46,,,
,,,,,,,,
,,,,,,,,
Name,Author,Narrator,Time_in_min,ReleaseDate,Language,Stars,Ratings_Count,Price
Dungeons & Dragons: The Mad Mage's Academy,MattForbeck,"GildartJackson,TimCampbell",135,26-05-2020,English,No Rating,2,"1,172.00"
Scary Stories for Young Foxes: The City,"ChristianMcKayHeidicker,JunyiWu-illustrator",ChristianMcKayHeidicker,553,28-09-2021,English,No Rating,,703
Bolt,"Disney,NilsWadström",FrederickHalbout,141,07-03-2022,swedish,No Rating,4,166
The Tenth Son,"AyanMalpani,AshishMalpani",YohanChacko,257,01-03-2022,English,No Rating,,186
Escape from Falaise,JohnFlanagan,JohnKeating,457,01-12-2021,English,4.5,,797
The Jungle Book,"RudyardKipling,LisaChurch-adaptation",RebeccaK.Reynolds,151,04-08-2020,English,No Rating,,305
Als Papa auf einen Knopf drückte und wir fast von einem Dino gefressen wurden,NicolasGorny,MartinBaltscheit,90,31-03-2022,german,No Rating,,300
Phantom Stallion: Blue Wings,TerriFarley,NatalieBudig,262,29-03-2022,English,No Rating,,398
Super Pigiamini - Storie della buonanotte da 5 minuti,RaffaellaCasati,StefanPopa,64,30-03-2022,italian,No Rating,,113
Lost Island,MarcyKateConnolly,ChloeCannon,239,29-03-2022,English,No Rating,,469
The Boy Who Hatched Monsters,T.C.Shelley,JotDavies,573,31-03-2022,English,No Rating,,493
The Magic Ocean Slide & The Giant Conker,EmmaBeswetherick,HayleyWareham,133,01-04-2022,English,No Rating,,573
Krieg der Fluten,DanJolley,JacobWeigert,402,30-03-2022,german,No Rating,,468
The Secret of Splint Hall,KatieCotton,JuliaBarrie,561,01-04-2022,English,No Rating,,759
Tschakka! - Freunde in Sicht,MaraAndeck,MonikaOschek,149,30-03-2022,german,No Rating,,367
El candidato novato,JordiSierraiFabra,AnetaFernández,174,01-04-2022,spanish,No Rating,,192
The Call of the Silver Wibbler,HannahPeck,CharlieSanderson,93,31-03-2022,English,No Rating,,569
Frankie Best Hates Quests,ChrisSmith,"ChrisSmith,KariseYansen,RoyMcMillan",391,31-03-2022,English,No Rating,,410
Trapped in the Overworld,WinterMorgan,NicolZanzarella,114,30-06-2016,English,5,,233
The Boy Who Biked the World: On the Road to Africa,AlastairHumphreys,AlastairHumphreys,115,11-02-2022,English,No Rating,,569
The 143-Storey Treehouse,"AndyGriffiths,TerryDenton",StigWemyss,100,19-10-2021,English,5,,323
Unicorn Academy: Isla and Buttercup,JulieSykes,KristinAtherton,96,10-03-2022,English,No Rating,,266
Herobrine's War,MarkCheverton,NickWalther,381,01-03-2022,English,No Rating,,703
Small Change for Stuart,LissaEvans,LissaEvans,246,01-07-2021,English,No Rating,,664
The Extreme,KatherineApplegate,RamóndeOcampo,184,04-01-2022,English,No Rating,,445
Wingfeather Tales,"AndrewPeterson-editor,JonathanRogers,N.D.Wilson,",AndrewPeterson,638,23-03-2021,English,No Rating,,"1,382.00"
Poison Jungle,TuiT.Sutherland,ShannonMcManus,445,30-07-2019,English,5,,656
39 Clues: Cahills vs. Vespers,GordonKorman,DavidPittu,322,30-08-2011,English,5,,586
Blue Moon,JamesPonti,ElizabethKlett,419,18-05-2021,English,No Rating,2,586
The Last Kids on Earth: June's Wild Flight,"MaxBrallier,DouglasHolgate",MontseHernandez,196,07-04-2020,English,5,,754
Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,DavPilkey,"LenForgione,WinstonBromhead,I'keMitchell",159,02-04-2021,English,5,,492
Mermaids of the Deep Blue Sea,GertrudeChandlerWarner,AimeeLilly,104,01-09-2021,English,No Rating,,234
Zoey and Sassafras: The Pod and the Bog,AsiaCitro,JaninaEdwards,65,13-04-2021,English,No Rating,,468
"Mortel un jour, Mortel toujours!",MrTan,DorothéePousseo,65,25-01-2022,french,No Rating,,529
Tijl en de tijdbom,LaraReims,RubenBrinkman,305,21-01-2022,dutch,No Rating,,233
Genius Camp,ChrisGrabenstein,KirbyHeyborne,373,30-11-2021,English,No Rating,,904
The Talisman of Lostland,A.M.Luzzader,JenniferJillAraya,338,23-11-2021,English,No Rating,,469
Star Wars: The High Republic: A Test of Courage,JustinaIreland,KeylorLeigh,274,05-01-2021,English,4,,754
The Secret Explorers and the Plant Poachers,SJKing,AyshaKala,74,07-10-2021,English,No Rating,,410
The Red Slippers,CarolynKeene,JorjeanaMarie,173,24-12-2015,English,5,,305
Captain Underpants and the Preposterous Plight of the Purple Potty People,DavPilkey,"LenForgione,WinstonBromhead,I'keMitchell",75,19-01-2021,English,5,,258
The Magician's Secret,CarolynKeene,JorjeanaMarie,162,24-12-2015,English,4.5,,305
The Case of the Bizarre Bouquets,NancySpringer,KatherineKellgren,219,11-04-2008,English,4.5,,609
Shockwave,WilburSmith,ElliotChapman,356,17-03-2022,English,No Rating,,"1,328.00"
The Phantom of Nantucket,CarolynKeene,JorjeanaMarie,196,24-12-2015,English,5,,305
The Swamp Robber,PaulHutchens,AimeeLilly,164,18-09-2018,English,5,,234
The Adventures of Captain Underpants,DavPilkey,"LenForgione,DazjonFreeman,BenD'Amico",60,22-05-2018,English,4.5,3,258
Secret at Mystic Lake,CarolynKeene,JorjeanaMarie,156,28-09-2015,English,4.5,,305
Fight for Dusty Divot,DevinHunter,RamondeOcampo,129,08-01-2019,English,No Rating,,585
"I Survived the Sinking of the Titanic, 1912",LaurenTarshis,LaurenFortgang,76,29-03-2016,English,5,,187
Showdown at Widow Creek,FranklinW.Dixon,TimGregory,166,02-02-2016,English,5,,305
Case of the Missing Marquess,NancySpringer,KatherineKellgren,271,22-10-2008,English,4.5,,726
Nightshade,AnthonyHorowitz,RupertDegas,607,28-05-2020,English,4.5,,645
Mystery of the Phantom Heist,FranklinW.Dixon,TimGregory,179,02-11-2015,English,5,,305
Riding Home Through Asia,AlastairHumphreys,AlastairHumphreys,148,11-02-2022,English,No Rating,,569
The Boy Who Biked the World: Riding the Americas,AlastairHumphreys,AlastairHumphreys,143,11-02-2022,English,No Rating,,569
Penny Berry y la batalla de Cairngorms,LluisPrats,ArantxadeSarabia,422,09-02-2022,spanish,No Rating,,307
Black Panther - Kampen om Wakanda,"Marvel,CatoVandrare",BenjaminHagberg,61,08-02-2022,swedish,No Rating,10,65
La banda della zuppa di piselli,RiekePatwardhan,MarcoQuaglia,168,10-02-2022,italian,No Rating,5,305
Princesse Sarah,FrancesBurnett,EmmanuelleLemée,91,08-02-2022,french,No Rating,,225
Veinte mil leguas de viaje submarino,JulioVerne,CarlosCuevas,931,04-02-2022,spanish,No Rating,,959
Sofabanditen oder Die verrückte Befreiung der Hühner,JudithKleinschmidt,ConstanzeWeinig,144,08-02-2022,german,No Rating,3,367
En el infierno,"Vegetta777,Willyrex",�lexdePorrata,225,07-02-2022,spanish,No Rating,5,192
DC Jones and Adventure Command International 2,JimBeard,JohnnyHeller,310,09-02-2022,English,No Rating,,469
Limamerirosvojen jäljillä,VeeraVähämaa,Ari-MattiHedman,134,27-01-2022,finnish,No Rating,,166
Die Hamsterdam-Verschwörung,RalphBennewitz,LarsderVorleser,475,01-02-2022,german,No Rating,,166
Els Barrufets - Històries dels barrufets,"Peyo,DanielCortésCoronas-traductor",JordiCoromina,149,07-02-2022,catalan,No Rating,,192
Wolvenhart,InaDeMan,LaetitiaVandueren,365,03-02-2022,dutch,No Rating,,233
Circus Maximus Rivals on the Track,AnneliseGray,BronwenPrice,447,03-02-2022,English,No Rating,,645
The Midnight Thief,SylviaBishop,AnnabelleIndge,247,01-02-2022,English,No Rating,,653
Suche nach der verborgenen Quelle,"ChenJiatong,UlrikeKöbele-Übersetzer",Michael-CheKoch,405,09-02-2022,german,No Rating,,367
Los Pitufos - Historias de Pitufos,"Peyo,RaquelLuqueBenitez-traductor",JuanCarlosAlbarracín,145,07-02-2022,spanish,No Rating,,192
Dando la nota,JordiSierraiFabra,FernandoCea,162,01-02-2022,spanish,No Rating,,192
"Vacaciones, no gracias",JordiSierraiFabra,AnetaFernández,169,01-02-2022,spanish,No Rating,,192
A Baker's Guide to Robber Pie,CaitlinSangster,SandyRustin,536,08-02-2022,English,No Rating,,820
The Counterclockwise Heart,BrianFarrey,KirbyHeyborne,508,01-02-2022,English,No Rating,,515
Knight Sir Louis and the Dragon of Doooooom!,TheBrothersMcLeod,MylesMcLeod,178,03-02-2022,English,No Rating,,227
The Secret of Haven Point,LisetteAuton,LisetteAuton,496,03-02-2022,English,No Rating,,410
The Mouse Watch in Space,J.J.Gilbert,MacLeodAndrews,266,01-02-2022,English,No Rating,,351
Freewater,AminaLuqman-Dawson,"CaryHite,SisiAishaJohnson",581,01-02-2022,English,No Rating,,500
The Book of Stolen Time,DashkaSlater,KevinR.Free,578,15-02-2022,English,No Rating,2,820
The Experiment,KatherineApplegate,AdamVerner,153,01-02-2022,English,No Rating,,445
The Exposed,KatherineApplegate,EmilyEllet,176,01-02-2022,English,No Rating,9,445
Big Sky Mountain: The Forest Wolves,AlexMilway,PenelopeRawlines,112,03-02-2022,English,No Rating,,569
The Golem's Eye,JonathanStroud,StevenPacey,576,01-06-2007,English,5,7,683
The Count of Monte Cristo,"BinaOfek-translator,AlexandreDumas",JonathanKis-Lev,164,08-04-2011,hebrew,No Rating,3,333
Pony,R.J.Palacio,"IanM.Hawkins,R.J.Palacio",433,28-09-2021,English,4,,615
World Champions!,JamesPatterson,AndreaEmmes,277,05-08-2021,English,No Rating,5,410
Minecraft: Mob Squad,DelilahS.Dawson,"JessicaAlmasy,KeylorLeigh,BarrettLeddy,",539,28-09-2021,English,No Rating,,"1,005.00"
The Threat,KatherineApplegate,MacLeodAndrews,172,02-11-2021,English,No Rating,14,445
The Tiger's Nest,TrudiTrueit,RamonDeOcampo,377,24-08-2021,English,No Rating,13,703
The Beekeeper Mystery,GertrudeChandlerWarner,AimeeLilly,103,01-10-2021,English,No Rating,14,234
The Shattered Castle,JenniferA.Nielsen,CharlieMcWade,594,19-10-2021,English,No Rating,,445
Peanut Jones and the Illustrated City: from the creator of Draw with Rob,RobBiddulph,ClaireSkinner,341,02-09-2021,English,No Rating,,323
Sparrow Rising,JessicaKhoury,"MichaelGallagher,EmilyEiden",491,03-08-2021,English,5,3,586
Shadowghast,ThomasTaylor,MathewHorne,396,14-10-2021,English,No Rating,3,569
The Beatryce Prophecy,KateDiCamillo,FintyWilliams,259,28-09-2021,English,4,11,"1,005.00"
Brother Wulf,JosephDelaney,ThomasJudd,377,19-08-2021,English,No Rating,6,615
